engine_spec,reg_year,total_tests,pass_count,avg_failures,avg_mileage,fail_rate_pct
unknown_1275cc,1986,3,2,4.0,114635.33333333333,33.3
unknown_1275cc,1989,1,1,0.0,292765.0,0.0
unknown_1281cc,2003,1,1,2.0,156776.0,0.0
unknown_1283cc,2006,1,1,0.0,60697.0,0.0
unknown_1287cc,2001,2,1,1.5,156409.0,50.0
unknown_1288cc,1980,5,3,2.6,47934.4,40.0
unknown_1288cc,1981,7,6,1.2857142857142858,65197.0,14.3
unknown_1288cc,1982,19,13,4.315789473684211,83960.21052631579,31.6
unknown_1290cc,2001,2,1,4.5,118198.0,50.0
unknown_1292cc,1991,1,1,0.0,103175.0,0.0
unknown_1295cc,1981,2,1,1.5,52728.0,50.0
unknown_1297cc,1994,2,1,1.0,62617.0,50.0
unknown_1297cc,2001,1,1,2.0,93393.0,0.0
unknown_1298cc,1988,2,1,5.0,103011.5,50.0
unknown_1300cc,1979,1,1,0.0,160860.0,0.0
unknown_1300cc,1980,11,8,4.636363636363637,95095.7,27.3
unknown_1300cc,1981,2,2,1.0,43915.0,0.0
unknown_1300cc,1982,1,1,0.0,73020.0,0.0
unknown_1300cc,1983,1,1,0.0,168387.0,0.0
unknown_1300cc,1984,58,39,2.5,95617.63157894737,32.8
unknown_1300cc,1985,3,3,1.0,51538.0,0.0
unknown_1300cc,1987,2,2,0.0,67678.5,0.0
unknown_1300cc,1988,11,6,2.6363636363636362,102556.54545454546,45.5
unknown_1300cc,1989,5,4,2.6,102276.2,20.0
unknown_1300cc,1991,3,2,5.0,137331.66666666666,33.3
unknown_1300cc,1994,1,1,1.0,45434.0,0.0
unknown_1300cc,1995,1,1,0.0,84822.0,0.0
unknown_1300cc,1996,2,2,2.5,96246.0,0.0
unknown_1300cc,1997,2,1,5.0,191508.0,50.0
unknown_1300cc,1998,1,1,0.0,58967.0,0.0
unknown_1300cc,1999,3,2,1.3333333333333333,97113.33333333333,33.3
unknown_1301cc,1996,1,1,5.0,192706.0,0.0
unknown_1304cc,1999,2,1,1.0,91958.0,50.0
unknown_130cc,2002,1,1,0.0,71201.0,0.0
unknown_130cc,2003,1,1,1.0,42646.0,0.0
unknown_1315cc,2003,1,1,0.0,60748.0,0.0
unknown_1340cc,2002,1,1,1.0,78294.0,0.0
unknown_1360cc,2000,1,1,0.0,104957.0,0.0
